Wall time,Step,Value
1670570925,5,3445
1670570925,18,3613
1670570926,24,3824
1670570927,40,3740
1670570928,42,3445
1670570928,45,3340
1670570930,53,3432
1670570931,56,3820
1670570935,71,3864
1670570936,74,3724
1670570940,94,3860
1670570942,102,3432
1670570943,106,3870
1670570948,126,3445
1670570951,139,3771
1670570954,155,3458
1670570955,158,3732
1670570957,167,3445
1670570959,178,3478
1670570960,183,3932
1670570961,185,3744
1670570961,186,3432
1670570962,190,3899
1670570965,207,3945
1670570970,229,3972
1670570971,234,3445
1670570974,249,3445
1670570976,255,3432
1670570977,260,3731
1670570978,267,3775
1670570979,271,3445
1670570980,273,3485
1670570984,292,3705
1670570987,308,3731
1670570988,310,3340
1670570990,318,3925
1670570992,330,3458
1670570994,339,3972
1670570996,347,4040
1670571000,363,3660
1670571001,367,3516
1670571013,421,3925
1670571013,422,4005
1670571017,439,3862
1670571017,442,4257
1670571018,445,4284
1670571021,460,3932
1670571022,463,3945
1670571022,464,4051
1670571024,474,4231
1670571028,491,3450
1670571028,493,4304
1670571033,514,4291
1670571033,517,3972
1670571037,531,4231
1670571038,536,4271
1670571044,563,3945
1670571046,573,3693
1670571047,579,4284
1670571048,581,4224
1670571049,586,3925
1670571049,587,4018
1670571052,602,4020
1670571056,620,4070
1670571057,622,4030
1670571059,634,3830
1670571061,641,3445
1670571061,642,4244
1670571061,644,4240
1670571062,647,3620
1670571062,649,3830
1670571065,661,3816
1670571067,671,4224
1670571069,683,3945
1670571071,688,4064
1670571076,714,3763
1670571077,718,4050
1670571078,722,4271
1670571078,723,3985
1670571079,730,3985
1670571081,739,4020
1670571082,743,3458
1670571083,747,3945
1670571084,752,3932
1670571085,756,4224
1670571087,765,4291
1670571088,769,4211
1670571089,771,3958
1670571089,773,3830
1670571091,780,3458
1670571092,785,4244
1670571093,787,3880
1670571094,792,3640
1670571095,794,3840
1670571096,798,4150
1670571097,802,3795
1670571098,808,3932
1670571099,809,3570
1670571104,832,3750
1670571105,836,4211
1670571112,869,3731
1670571113,876,4284
1670571115,882,3630
1670571118,896,3972
1670571119,900,4271
1670571120,907,4224
1670571121,909,3634
1670571122,915,3932
1670571122,917,3731
1670571125,931,3458
1670571126,932,3744
1670571128,942,3731
1670571128,945,4413
1670571130,954,3945
1670571131,958,4284
1670571132,962,3985
1670571134,971,3432
1670571134,972,4284
1670571136,978,3731
1670571136,979,3650
1670571137,984,3432
1670571140,996,3958
1670571141,1002,3793
1670571142,1005,3445
1670571144,1014,3912
1670571146,1025,3600
1670571151,1044,3450
1670571154,1057,4271
1670571156,1063,3900
1670571156,1066,3432
1670571157,1068,4115
1670571157,1072,3419
1670571159,1078,3445
1670571160,1083,4060
1670571162,1093,3972
1670571164,1099,3840
1670571165,1104,4140
1670571167,1114,3912
1670571168,1119,3750
1670571176,1156,3432
1670571177,1160,4020
1670571177,1161,3912
1670571177,1162,4040
1670571181,1180,3912
1670571184,1192,3998
1670571184,1193,4005
1670571186,1199,3945
1670571187,1206,3432
1670571193,1232,3890
1670571193,1234,4000
1670571195,1244,4413
1670571198,1255,4280
1670571199,1258,4010
1670571199,1261,3945
1670571203,1281,4224
1670571205,1287,4211
1670571206,1294,3424
1670571207,1300,3912
1670571209,1310,3925
1670571211,1316,3445
1670571211,1319,3613
1670571214,1330,3855
1670571214,1333,4174
1670571215,1336,3396
1670571215,1337,4005
1670571225,1385,3945
1670571226,1388,4393
1670571227,1391,4011
1670571227,1392,4020
1670571232,1414,3432
1670571234,1426,3430
1670571235,1428,3350
1670571236,1432,3693
1670571236,1436,4278
1670571237,1440,3350
1670571243,1465,3445
1670571243,1466,4040
1670571245,1477,3731
1670571247,1485,3925
1670571248,1489,3925
1670571249,1491,3660
1670571252,1508,3445
1670571256,1523,3925
1670571256,1527,3432
1670571262,1552,3910
1670571265,1568,4291
1670571266,1569,3972
1670571269,1584,4244
1670571270,1588,3912
1670571272,1597,4224
1670571273,1604,4005
1670571274,1605,3985
