,Step,Value
0,5,41.0
1,18,43.772000000000006
2,24,46.75073600000001
3,40,50.569727168000014
4,42,51.22289044198401
5,45,51.5682157566802
6,53,51.36939716760004
7,56,53.872964401588845
8,71,56.56248882876979
9,74,60.455738962824555
10,94,65.32227009527067
11,102,64.69440285412742
12,106,64.8780700198779
13,126,64.51953317963937
14,139,68.0652987814837
15,155,67.9685151961059
16,158,71.67689301375263
17,167,71.9927702975876
18,178,72.35285705401655
19,183,72.44462276936835
20,185,71.99528729613593
21,186,71.77934384858229
22,190,71.87799172239929
23,207,71.4354558217305
24,229,77.99423035186975
25,234,77.50229958764731
26,249,76.78827199259554
27,255,76.6468127286844
28,260,79.55505097594019
29,267,83.0883903642289
30,271,83.06332967985814
31,273,83.19456972369984
32,292,85.62823488701545
33,308,88.81269606837127
34,310,88.50294371555081
35,318,87.5969083909642
36,330,87.50574549027263
37,339,86.87567654438936
38,347,90.15316842585669
39,363,89.7913304047464
40,367,93.23783443988944
41,421,93.29498042661076
42,422,93.39944066149144
43,439,93.23864737355353
44,442,92.5397836050709
45,445,92.07730620181005
46,460,91.93237852738832
47,463,98.13718998505966
48,464,105.45554370523895
49,474,114.2580771807761
50,491,113.71498025460679
51,493,123.2824004915515
52,514,132.36301168565288
53,517,137.81865554542506
54,531,146.02883167887995
55,536,154.9444856987334
56,563,160.2251518703486
57,573,162.6584500479044
58,579,171.47054864732957
59,581,179.3369020635616
60,586,183.14885923879888
61,587,188.94307292793331
62,602,194.3557560527981
63,620,199.90748698016455
64,622,204.84059713640258
65,634,207.92650997076575
66,641,205.94739185111655
67,642,213.47202314890316
68,644,220.67835887111633
69,647,221.05421856466293
70,649,223.801567941887
71,661,226.59994912658436
72,671,233.86474973706535
73,683,238.15037274022058
74,688,243.74056826733792
75,714,245.84368144812984
76,718,250.63355727075228
77,722,258.10195458350324
78,723,262.7567311285012
79,730,266.3356503549592
80,739,270.7476225506997
81,743,268.9506510800913
82,747,272.0712432671302
83,752,275.3343883479247
84,756,282.4703756877496
85,765,290.5767311794966
86,769,296.49781040534265
87,771,300.42783668047855
88,773,302.5347026403128
89,780,300.188286208629
90,785,307.32602677412547
91,787,310.034114452836
92,792,309.37370507940193
93,794,311.6492206184491
94,798,316.7654299710277
95,802,318.0762448113754
96,808,321.41132987363886
97,809,319.4743939151552
98,832,320.64470118817337
99,836,326.2289647739153
100,869,326.79021719662836
101,876,333.89673459026886
102,882,332.78197377518563
103,896,335.8805900898834
104,900,342.5660230088048
105,907,348.5592307326991
106,909,347.1605199639067
107,915,349.47459372433985
108,917,349.9008985996478
109,931,346.926087816452
110,932,346.8909747626546
111,942,347.00028306550274
112,945,355.2202796687167
113,954,358.0016363126921
114,958,364.6976166769398
115,962,367.01724527681654
116,971,363.5250383334947
117,972,369.43473787349274
118,978,369.3095210190108
119,979,368.4658067667827
120,984,364.0922170855813
121,996,366.35911048055436
122,1002,367.01480115478773
123,1005,363.4266235409302
124,1014,365.34150405843906
125,1025,363.65740600973777
126,1044,360.01351713762097
127,1057,366.6973549319695
128,1063,369.0889866727859
129,1066,364.80391883271244
130,1068,369.1382718067199
131,1072,365.2246125450393
132,1078,361.6459171944988
133,1083,365.63416618816484
134,1093,368.0265561939069
135,1099,369.34623751958003
136,1104,374.1420826693451
137,1114,376.51637767731296
138,1119,376.7861811451852
139,1156,372.50474697144296
140,1160,375.3426900077856
141,1161,377.49857772769224
142,1162,381.17659479495995
143,1180,383.09447565742045
144,1192,385.9253419495314
145,1193,388.566237846137
146,1199,390.5514429919834
147,1206,386.3208256760796
148,1232,387.73297576796665
149,1234,390.56818005875107
150,1244,397.92936189804607
151,1255,404.45820955526955
152,1258,406.8527110406063
153,1261,408.46247850811903
154,1281,414.2289287660216
155,1287,419.43418162082935
156,1294,414.8209714413794
157,1300,416.71911978408286
158,1310,417.7904903466739
159,1316,413.83300446251377
160,1319,411.3030084089636
161,1330,412.187372308056
162,1333,416.8891238403594
163,1336,411.6584543542751
164,1337,414.19455290202376
165,1385,416.0642182671995
166,1388,423.1434476479931
167,1391,425.99772627621724
168,1392,429.11775356090266
169,1414,424.8923405181718
170,1426,420.70563243195375
171,1428,415.04516484277025
172,1432,413.964622864657
173,1436,419.31704739028106
174,1440,413.3852428215977
175,1465,409.2646199077385
176,1466,411.9614444688456
177,1477,411.2179071352195
178,1485,412.8112922495969
179,1489,414.8655567426017
180,1491,412.9231700616905
181,1508,409.12009202095015
182,1523,410.94265091669877
183,1527,406.0953391056984
184,1552,408.13419503643
185,1568,414.6125846959929
186,1569,417.305233679641
187,1584,422.4015708754853
188,1588,424.1967520249795
189,1597,428.7663910006798
190,1604,431.40919430867166
191,1605,433.4802839769676
192,1618,438.694520569244
193,1627,442.11818632241307
194,1632,445.05676808654414
195,1637,441.94808686950563
196,1640,437.86870982707154
197,1645,439.5022853091467
198,1648,434.528257885437
199,1660,437.38991879081175
200,1668,439.25723976532197
201,1675,444.2821528881381
202,1682,446.79876705348045
203,1691,447.8811818488387
204,1695,451.29060766665265
205,1696,453.6031203746528
206,1697,458.683882930157
207,1699,459.39567633499513
208,1702,464.5989282189752
209,1709,470.1597410803475
210,1718,469.18582418738333
211,1728,469.95159429713476
212,1732,465.08017516556913
213,1734,461.75521306358235
214,1737,465.9341505068194
215,1742,470.33894070073757
216,1745,469.0508734123287
217,1746,464.75426293138077
218,1747,462.2252117762042
219,1766,457.45850923488973
220,1775,457.693007124071
221,1781,458.70469103858215
222,1788,460.6882347461192
223,1789,456.50397592916573
224,1798,457.80592821801577
225,1805,462.81225707939956
226,1817,458.0505099944467
227,1826,459.95790387451336
228,1830,460.4384090280192
229,1840,464.849148119683
230,1844,459.4389583422468
231,1853,456.97369084213983
232,1866,453.4580065520342
233,1869,455.37251047340976
234,1875,454.25204034772884
235,1877,450.07301586355607
236,1911,455.4481396731934
237,1917,450.6667619971151
238,1934,446.05076085314965
239,1936,441.74215172291184
240,1938,439.4292459022369
241,1944,444.1400949514101
242,1947,439.5304138119932
243,1949,440.8680488462493
244,1967,443.2096322600943
245,1981,438.67111667297314
246,1983,440.59506327289745
247,2001,446.4559225136227
248,2005,444.1464514434592
249,2013,453.4326940261377
250,2030,454.6155016978241
251,2036,449.8321156774502
252,2060,454.88613028932076
253,2072,449.90749672584894
254,2073,445.0846067651388
255,2076,440.35559148395714
256,2077,435.9473243861496
257,2079,435.0479564935158
258,2081,441.16738101559366
259,2085,442.9893724434065
260,2089,441.6694999740856
261,2094,444.3374659743966
262,2096,439.4614163827039
263,2111,444.11187938611147
264,2145,443.4385368334781
265,2149,447.7772743914764
266,2151,448.4999470987787
267,2156,455.4299477335934
268,2165,450.74478836079027
269,2173,453.3998509004608
270,2177,448.2830526896553
271,2187,447.0076560573794
272,2189,441.87156418469084
273,2191,441.12910541447457
274,2192,440.05955614950085
275,2196,443.7428414757068
276,2199,446.4939273779984
277,2207,441.7000002494624
278,2211,445.92760024646884
279,2225,440.92446904351124
280,2231,438.52537541498907
281,2236,437.7270709100092
282,2237,435.2463460590891
283,2239,441.11138990638005
284,2242,439.67005322750344
285,2244,437.3940125887734
286,2246,440.16128443770816
287,2247,435.85134902445566
288,2254,438.7451328361622
289,2257,439.9481912421283
290,2262,437.22481294722274
291,2281,438.3741151918561
292,2291,439.90562580955384
293,2297,440.9387582998392
294,2303,442.7034932002411
295,2307,443.9430512818382
296,2308,445.02373466645616
297,2319,440.4154498504587
298,2320,439.5704644522532
299,2335,434.88361887882616
300,2345,436.0010154522802
301,2354,438.36500326685285
302,2371,436.0326232276506
303,2389,438.2042317489188
304,2390,442.5817809679318
305,2392,438.3987995963166
306,2402,439.8340140011608
307,2406,438.5160058331469
308,2425,434.0938137631491
309,2436,435.48468799799133
310,2444,440.6388717420154
311,2450,436.03520528111125
312,2451,431.49878281773795
313,2453,436.7487974239251
314,2455,437.699811854838
315,2460,439.39541411257994
316,2485,441.16666914322894
317,2486,437.2286691135102
318,2496,439.7219250841481
319,2498,436.9292619831383
320,2503,434.77011083934065
321,2517,430.8728695092685
322,2523,429.8903950751573
323,2530,425.6317103342554
324,2532,426.94412981024436
325,2547,432.8848002525215
326,2551,433.1741826494912
327,2553,433.3400924576973
328,2566,434.27201134820496
329,2578,435.2527472120265
330,2590,430.7137142454822
331,2591,426.31314967453636
332,2592,422.0973918784419
333,2600,420.3922231759006
334,2606,417.5795164977898
335,2623,418.52056229981633
336,2629,423.25431555221854
337,2630,422.4592637655919
338,2638,423.4377526004048
339,2644,419.5204995691999
340,2650,421.65025357436946
341,2655,417.09445053147704
342,2678,414.0453171250993
343,2680,412.2807733195981
344,2685,413.2854040397629
345,2690,411.74597919128576
346,2703,414.1970274409903
347,2710,416.05466311169846
348,2725,418.57400715435807
349,2737,414.61911906850577
350,2740,410.6756896396837
351,2754,409.2995813640075
352,2755,405.17998638763936
353,2757,411.4538265509877
354,2789,414.40038063237586
355,2790,417.37157606478735
356,2791,421.83111715200994
357,2798,426.0091437461858
358,2809,431.8530340212316
359,2824,433.03079761297687
360,2827,431.5184280416212
361,2829,426.6762069051217
362,2859,428.4560924222602
363,2872,430.8266193131931
364,2881,429.6526998814347
365,2890,425.5168674828575
366,2896,424.56266507306316
367,2900,434.01191309218643
368,2917,432.4877701350802
369,2919,434.19791689345925
370,2920,430.30754189073775
371,2921,425.63585138804893
372,2932,427.6322211713923
373,2950,424.6966345173356
374,2967,418.85627490312754
375,2975,421.12599960429
376,2998,420.9084876090385
377,3007,422.28958575773004
378,3009,417.8941107286373
379,3011,419.17938139989366
380,3015,421.7572288230949
381,3016,419.21614207721774
382,3027,420.97754837229115
383,3030,419.16581779182366
384,3038,417.05182797832174
385,3041,422.9312060425819
386,3050,421.60003157007094
387,3065,419.2888311912301
388,3069,421.73336521693534
389,3071,416.8045648343321
390,3086,419.86691005632014
391,3099,421.40450713564434
392,3122,419.2156530500166
393,3137,420.7010652134164
394,3138,422.8886524308554
395,3145,424.19798860168515
396,3150,426.2476127384649
397,3155,427.81664138560336
398,3159,428.7908416889761
399,3161,424.5693515887084
400,3177,423.42251936964385
401,3195,418.85744913720816
402,3196,420.87515974756167
403,3203,423.2766578305909
404,3206,421.07733793662385
405,3230,422.8404098813844
406,3233,427.70232496280784
407,3240,423.4698970632541
408,3243,424.47225829849503
409,3244,423.5545911989131
410,3246,419.2879361045261
411,3247,420.54448087127184
412,3267,426.3099471008166
413,3272,422.04622773560675
414,3281,418.31367300277947
415,3283,424.0819089267461
