Wall time,Step,Value
1670574813,5,240
1670574814,18,223
1670574814,24,284
1670574815,40,245
1670574816,42,304
1670574816,45,266
1670574818,53,299
1670574819,56,273
1670574822,71,268
1670574823,74,276
1670574827,94,317
1670574829,102,264
1670574830,106,217
1670574835,126,255
1670574837,139,231
1670574841,155,281
1670574841,158,252
1670574843,167,267
1670574846,178,242
1670574847,183,329
1670574847,185,299
1670574847,186,254
1670574848,190,299
1670574852,207,257
1670574856,229,274
1670574857,234,609
1670574861,249,361
1670574862,255,500
1670574863,260,660
1670574865,267,746
1670574866,271,70
1670574866,273,555
1670574870,292,923
1670574874,308,596
1670574874,310,431
1670574876,318,445
1670574879,330,230
1670574881,339,140
1670574883,347,658
1670574887,363,98
1670574888,367,158
1670574901,421,106
1670574902,422,660
1670574905,439,343
1670574906,442,647
1670574907,445,151
1670574910,460,452
1670574911,463,124
1670574911,464,404
1670574913,474,354
1670574918,491,810
1670574918,493,370
1670574923,514,665
1670574924,517,627
1670574928,531,704
1670574929,536,210
1670574934,563,-14
1670574937,573,549
1670574938,579,345
1670574939,581,201
1670574940,586,493
1670574940,587,132
1670574944,602,463
1670574948,620,415
1670574949,622,125
1670574952,634,109
1670574954,641,432
1670574954,642,1316
1670574954,644,411
1670574955,647,593
1670574955,649,936
1670574958,661,329
1670574961,671,243
1670574964,683,360
1670574965,688,146
1670574971,714,568
1670574972,718,948
1670574973,722,470
1670574973,723,942
1670574975,730,317
1670574977,739,93
1670574977,743,328
1670574978,747,923
1670574979,752,704
1670574980,756,359
1670574982,765,395
1670574983,769,722
1670574983,771,502
1670574984,773,128
1670574985,780,510
1670574986,785,225
1670574987,787,352
1670574988,792,13
1670574988,794,694
1670574989,798,535
1670574990,802,461
1670574991,808,791
1670574992,809,114
1670574997,832,30
1670574998,836,389
1670575005,869,328
1670575006,876,618
1670575007,882,737
1670575011,896,554
1670575011,900,182
1670575013,907,400
1670575013,909,397
1670575015,915,122
1670575015,917,90
1670575018,931,435
1670575018,932,267
1670575020,942,90
1670575021,945,504
1670575023,954,551
1670575024,958,228
1670575024,962,155
1670575026,971,101
1670575026,972,58
1670575028,978,493
1670575028,979,24
1670575029,984,200
1670575032,996,790
1670575033,1002,172
1670575033,1005,298
1670575035,1014,680
1670575038,1025,166
1670575041,1044,278
1670575044,1057,-114
1670575045,1063,236
1670575046,1066,71
1670575047,1068,321
1670575048,1072,472
1670575050,1078,183
1670575051,1083,238
1670575053,1093,301
1670575054,1099,-132
1670575055,1104,170
1670575058,1114,470
1670575059,1119,-19
1670575066,1156,313
1670575067,1160,-121
1670575067,1161,232
1670575068,1162,52
1670575071,1180,24
1670575074,1192,414
1670575074,1193,158
1670575075,1199,737
1670575077,1206,100
1670575082,1232,61
1670575083,1234,220
1670575085,1244,354
1670575087,1255,180
1670575088,1258,226
1670575088,1261,277
1670575092,1281,269
1670575094,1287,576
1670575095,1294,373
1670575096,1300,519
1670575098,1310,595
1670575099,1316,417
1670575100,1319,156
1670575102,1330,59
1670575103,1333,327
1670575103,1336,534
1670575103,1337,404
1670575113,1385,107
1670575114,1388,176
1670575115,1391,50
1670575115,1392,442
1670575119,1414,564
1670575122,1426,394
1670575122,1428,425
1670575123,1432,305
1670575124,1436,69
1670575125,1440,318
1670575131,1465,76
1670575131,1466,793
1670575133,1477,337
1670575135,1485,318
1670575136,1489,334
1670575136,1491,209
1670575140,1508,591
1670575143,1523,134
1670575143,1527,766
1670575149,1552,703
1670575152,1568,531
1670575152,1569,722
1670575155,1584,449
1670575156,1588,63
1670575158,1597,544
1670575159,1604,572
1670575159,1605,-9
1670575162,1618,-56
1670575164,1627,406
1670575165,1632,224
1670575166,1637,319
1670575167,1640,313
1670575168,1645,385
1670575168,1648,415
1670575171,1660,548
1670575172,1668,899
1670575174,1675,266
1670575175,1682,368
1670575177,1691,149
1670575178,1695,241
1670575178,1696,914
1670575178,1697,493
1670575179,1699,208
1670575179,1702,750
1670575181,1709,760
1670575183,1718,381
1670575185,1728,754
1670575186,1732,1114
1670575187,1734,733
1670575187,1737,539
1670575188,1742,376
1670575189,1745,638
1670575189,1746,844
1670575189,1747,804
1670575193,1766,769
1670575195,1775,751
1670575196,1781,539
1670575198,1788,238
1670575198,1789,60
1670575200,1798,258
1670575201,1805,406
1670575204,1817,85
1670575206,1826,579
1670575206,1830,162
1670575208,1840,663
1670575209,1844,161
1670575211,1853,416
1670575214,1866,794
1670575214,1869,484
1670575215,1875,165
1670575216,1877,221
1670575223,1911,668
1670575225,1917,120
1670575228,1934,735
1670575229,1936,247
1670575229,1938,211
1670575230,1944,163
1670575231,1947,-15
1670575231,1949,434
1670575235,1967,198
1670575238,1981,368
1670575238,1983,579
1670575242,2001,1045
1670575243,2005,495
1670575245,2013,599
1670575248,2030,1021
1670575249,2036,742
1670575256,2060,677
1670575259,2072,578
1670575259,2073,531
1670575260,2076,154
1670575260,2077,718
1670575260,2079,738
1670575261,2081,1012
1670575262,2085,593
1670575262,2089,968
1670575264,2094,1101
1670575264,2096,733
1670575267,2111,153
1670575275,2145,574
1670575275,2149,504
1670575276,2151,700
1670575277,2156,300
1670575279,2165,502
1670575280,2173,312
1670575281,2177,585
1670575283,2187,485
1670575284,2189,102
1670575284,2191,377
1670575285,2192,536
1670575286,2196,459
1670575286,2199,357
1670575288,2207,658
1670575289,2211,537
1670575292,2225,793
1670575293,2231,935
1670575294,2236,1083
1670575295,2237,562
1670575295,2239,444
1670575296,2242,512
1670575296,2244,862
1670575296,2246,357
1670575297,2247,803
1670575298,2254,359
1670575299,2257,961
1670575300,2262,167
1670575304,2281,144
1670575306,2291,1191
1670575308,2297,211
1670575309,2303,292
1670575310,2307,158
1670575310,2308,1051
1670575312,2319,525
1670575313,2320,200
1670575316,2335,521
1670575318,2345,283
1670575320,2354,438
1670575323,2371,586
1670575327,2389,494
1670575327,2390,573
1670575328,2392,1075
1670575330,2402,732
1670575331,2406,135
1670575335,2425,279
1670575337,2436,582
1670575339,2444,484
1670575340,2450,302
1670575341,2451,982
1670575341,2453,713
1670575341,2455,281
1670575343,2460,579
1670575348,2485,282
1670575348,2486,455
1670575350,2496,263
1670575351,2498,247
1670575352,2503,230
1670575355,2517,501
1670575356,2523,551
1670575358,2530,478
1670575358,2532,273
1670575362,2547,252
1670575362,2551,393
1670575363,2553,412
1670575365,2566,556
1670575368,2578,268
1670575371,2590,658
1670575371,2591,374
1670575371,2592,1036
1670575373,2600,65
1670575374,2606,472
1670575378,2623,706
1670575379,2629,761
1670575379,2630,75
1670575381,2638,38
1670575382,2644,589
1670575383,2650,735
1670575384,2655,307
1670575389,2678,418
1670575389,2680,314
1670575391,2685,713
1670575392,2690,916
1670575394,2703,451
1670575396,2710,539
1670575399,2725,588
1670575402,2737,801
1670575403,2740,161
1670575406,2754,688
1670575407,2755,458
1670575407,2757,902
1670575415,2789,642
1670575415,2790,863
1670575416,2791,983
1670575418,2798,371
1670575421,2809,373
1670575425,2824,258
1670575426,2827,271
1670575427,2829,761
1670575436,2859,215
1670575440,2872,548
1670575442,2881,770
1670575445,2890,484
1670575446,2896,363
1670575447,2900,131
1670575452,2917,684
1670575453,2919,493
1670575453,2920,461
1670575453,2921,618
1670575456,2932,477
1670575461,2950,811
1670575465,2967,285
1670575467,2975,554
1670575474,2998,365
1670575476,3007,407
1670575476,3009,716
1670575477,3011,238
1670575478,3015,605
1670575478,3016,651
1670575482,3027,466
1670575483,3030,249
1670575485,3038,797
1670575486,3041,224
1670575489,3050,377
1670575493,3065,110
1670575494,3069,505
1670575495,3071,550
1670575499,3086,471
1670575503,3099,726
1670575510,3122,1118
1670575514,3137,437
1670575514,3138,647
1670575515,3145,927
1670575517,3150,320
1670575518,3155,634
1670575519,3159,441
1670575519,3161,695
1670575525,3177,396
1670575530,3195,998
1670575531,3196,519
1670575533,3203,625
1670575534,3206,740
1670575542,3230,468
1670575543,3233,259
1670575545,3240,280
1670575546,3243,219
1670575546,3244,297
1670575547,3246,265
1670575547,3247,294
1670575553,3267,294
1670575555,3272,289
1670575558,3281,260
1670575558,3283,259
1670575566,3305,221
1670575568,3313,248
1670575572,3327,245
1670575573,3328,257
1670575574,3333,269
1670575576,3338,242
1670575578,3345,229
1670575586,3374,314
1670575586,3376,271
1670575587,3378,243
1670575589,3386,293
1670575594,3403,295
1670575595,3408,273
1670575601,3430,300
1670575602,3433,277
1670575604,3438,594
1670575606,3445,260
1670575607,3449,593
1670575608,3451,629
1670575609,3457,680
1670575610,3458,104
1670575612,3464,593
1670575614,3471,925
1670575616,3477,535
1670575617,3480,390
1670575622,3497,443
1670575622,3499,252
1670575625,3509,132
1670575626,3512,631
1670575628,3519,137
1670575632,3535,116
1670575633,3537,82
1670575634,3543,705
1670575635,3547,385
1670575636,3549,699
1670575640,3563,78
1670575644,3580,450
1670575650,3592,97
1670575653,3600,422
1670575659,3618,406
1670575659,3620,749
1670575660,3622,419
1670575661,3625,733
1670575662,3628,584
1670575667,3645,672
1670575670,3656,178
1670575671,3657,57
1670575674,3670,523
1670575681,3700,278
1670575681,3702,260
1670575687,3726,464
1670575688,3730,117
1670575688,3732,515
1670575690,3738,447
1670575691,3741,99
1670575691,3743,139
1670575693,3752,368
1670575695,3759,1272
1670575698,3772,470
1670575699,3780,567
1670575702,3793,965
1670575703,3795,339
1670575703,3798,246
1670575706,3810,321
1670575707,3814,122
1670575708,3819,612
1670575708,3821,954
1670575710,3831,383
1670575711,3835,910
1670575714,3848,245
1670575718,3864,137
1670575719,3869,388
1670575721,3876,899
1670575726,3901,728
1670575727,3902,407
1670575728,3910,404
1670575731,3920,739
1670575732,3928,537
1670575734,3935,126
1670575735,3939,516
1670575737,3950,269
1670575738,3956,367
1670575740,3962,36
1670575744,3984,673
1670575747,3995,542
1670575748,4000,88
1670575750,4009,713
1670575750,4010,328
1670575753,4022,123
1670575755,4033,699
1670575756,4036,842
1670575759,4046,332
1670575759,4047,338
1670575759,4048,454
1670575770,4093,158
1670575771,4098,522
1670575771,4099,464
1670575773,4109,842
1670575793,4182,776
1670575796,4193,711
1670575797,4194,392
1670575797,4196,971
1670575798,4198,363
1670575799,4201,511
1670575799,4202,349
1670575799,4204,891
1670575805,4227,279
1670575807,4232,289
1670575807,4235,719
1670575809,4243,834
1670575813,4254,117
1670575815,4263,-110
1670575816,4266,753
1670575817,4267,964
1670575821,4282,235
1670575825,4298,370
1670575827,4304,380
1670575828,4308,444
1670575830,4317,173
1670575831,4319,954
1670575833,4328,773
1670575834,4332,879
1670575836,4338,568
1670575838,4343,435
1670575845,4369,723
1670575848,4378,293
1670575853,4393,785
1670575855,4400,476
1670575856,4406,411
1670575857,4410,473
1670575858,4411,872
1670575864,4430,501
1670575864,4431,479
1670575865,4433,994
1670575867,4439,252
1670575876,4469,316
1670575878,4475,1106
1670575879,4479,1025
1670575880,4482,789
1670575882,4490,776
1670575883,4492,494
1670575888,4509,338
1670575888,4510,737
1670575894,4529,761
1670575894,4530,505
1670575895,4533,378
1670575898,4542,113
1670575901,4550,399
1670575901,4552,403
1670575902,4553,985
1670575906,4568,900
1670575909,4578,517
1670575910,4581,548
1670575913,4592,588
1670575914,4595,728
1670575915,4597,238
1670575915,4599,145
1670575919,4611,669
1670575923,4628,787
1670575927,4643,14
1670575928,4649,450
1670575930,4656,398
1670575932,4664,832
1670575933,4668,928
1670575935,4675,596
1670575935,4676,486
1670575935,4677,522
1670575938,4687,492
1670575944,4713,163
1670575945,4718,387
1670575949,4734,111
1670575950,4739,313
1670575952,4745,536
1670575953,4749,214
1670575953,4750,18
1670575955,4758,387
1670575956,4761,262
1670575956,4762,80
1670575956,4764,402
1670575957,4767,626
1670575959,4776,13
1670575960,4780,463
1670575961,4784,380
1670575962,4787,420
1670575962,4788,156
1670575963,4794,63
1670575965,4800,747
1670575965,4802,-6
1670575966,4805,555
1670575973,4840,200
1670575976,4852,-82
1670575980,4871,380
1670575980,4873,420
1670575984,4889,156
1670575985,4892,63
1670575985,4894,747
1670575985,4895,-6
1670575990,4914,555
1670575995,4938,200
1670575996,4941,-82
1670575999,4954,210
1670576000,4962,569
1670576002,4971,262
1670576003,4974,75
1670576003,4976,45
1670576004,4977,310
1670576007,4991,-150
1670576008,4999,601
1670576013,5021,34
1670576015,5027,394
1670576015,5030,469
1670576017,5037,205
1670576020,5050,446
1670576020,5052,-109
1670576020,5053,111
1670576022,5060,313
1670576026,5078,536
1670576030,5094,214
1670576031,5101,18
1670576032,5106,387
1670576033,5107,262
1670576034,5113,80
1670576037,5126,402
1670576037,5128,626
1670576038,5134,13
1670576044,5160,463
1670576045,5165,380
1670576047,5178,420
1670576048,5182,156
1670576052,5200,63
1670576054,5208,747
1670576059,5231,-6
1670576060,5234,555
1670576060,5235,200
1670576061,5239,-82
1670576061,5240,210
1670576062,5244,569
